Rückennummer;Spielername;Position
1;Marco Wölfli;Torhüter
26;David von Ballmoos;Torhüter
40;Dario Marzino;Torhüter
3;Frederik Sörensen;Abwehr
4;Mohamed Ali Camara;Abwehr
5;Cédric Zesiger;Abwehr
14;Nicolas Bürgy;Abwehr
21;Ulisses Garcia;Abwehr
23;Saidy Janko;Abwehr
28;Fabian Lustenberger;Abwehr
29;Jordan Lotomba;Abwehr
6;Esteban Petignat;Mittelfeld
7;Marvin Spielmann;Mittelfeld
8;Vincent Sierro;Mittelfeld
10;Miralem Sulejmani;Mittelfeld
11;Gianluca Gaudino;Mittelfeld
13;Nicolas Moumi Ngamaleu;Mittelfeld
16;Christian Fassnacht;Mittelfeld
20;Michel Aebischer;Mittelfeld
30;Sandro Lauper;Mittelfeld
35;Christopher Martins;Mittelfeld
17;Roger Assalé;Stürmer
18;Jean-Pierre Nsame;Stürmer
19;Felix Mambimbi;Stürmer
99;Guillaume Hoarau;Stürmer
-;Gerry Seoane;Trainer
-;Matteo Vanetta;Trainer
-;Patrick Schnarwiler;Trainer
-;Stefan Knutti;Trainer
-;Martin Fryand;Trainer
-;Stephan Flückiger;Trainer
-;Christoph Spycher;Staff
-;Stéphane Chapuisat;Staff
-;Frederic Stulens;Staff
-;Kay van Steenkiste;Staff
-;Amit Moshe Tzalach;Staff
-;Nico Zaugg;Staff
-;Jan Montagne;Staff
-;Thomas Ringgenberg;Staff
-;Jörg Dünkel;Staff
-;Roberto Llano;Staff
